Title,Year,Languages,Rating Value
Iron Man,2008,[English;Persian;Urdu;Arabic;Hungarian],7.9
Doctor Strange,2016,[English],7.5
Captain America: The First Avenger,2011,[English;Norwegian;French],6.9
Rise of the Guardians,2012,[English;French],7.3
Revolting Rhymes Part One,2016,[English;Swedish],7.7
The Glass Castle,2017,[English],7.2
Thor: Ragnarok,2017,[English],7.9
Avengers: Age of Ultron,2015,[English;Korean],7.4
Free Fire,2016,[English],6.4
The Avengers,2012,[English;Russian;Hindi],8.1
Spider-Man: Homecoming,2017,[English;Spanish],7.5
